,,,Raytheon,870 Winter St.,Waltham,Massachusetts,2451,,
,,,Time Warner Cable,60 Columbus Circle,New York,New York,10023,,
,,,Arrow Electronics,7459 S. Lima St.,Englewood,Colorado,80112,,
,,,Aflac,1932 Wynnton Rd.,Columbus,Georgia,31999,,
,,,Staples,500 Staples Dr.,Framingham,Massachusetts,1702,,
,,,Abbott Laboratories,100 Abbott Park Rd.,Abbott Park,Illinois,60064,,
,,,Community Health Systems,4000 Meridian Blvd.,Franklin,Tennessee,37067,,
,,,Fluor,6700 Las Colinas Blvd.,Irving,Texas,75039,,
,,,Freeport-McMoRan,333 N. Central Ave.,Phoenix,Arizona,85004,,
,,,U.S. Bancorp,800 Nicollet Mall,Minneapolis,Minnesota,55402,,
,,,Nucor,1915 Rexford Rd.,Charlotte,North Carolina,28211,,
,,,Kimberly-Clark,351 Phelps Dr.,Irving,Texas,75038,,
,,,Hess,1185 Ave. of the Americas,New York,New York,10036,,
,,,Chesapeake Energy,6100 N. Western Ave.,Oklahoma City,Oklahoma,73118,,
,,,Xerox,45 Glover Ave.,Norwalk,Connecticut,6850,,
,,,ManpowerGroup,100 Manpower Place,Milwaukee,Wisconsin,53212,,
,,,Amgen,1 Amgen Center Dr.,Thousand Oaks,California,91320,,
,,,AbbVie,1 N. Waukegan Rd.,North Chicago,Illinois,60064,,
,,,Danaher,2200 Pennsylvania Ave. N.W.,Washington,District of Columbia,20037,,
,,,Whirlpool,2000 North M-63,Benton Harbor,Michigan,49022,,
,,,PBF Energy,1 Sylvan Way,Parsippany,New Jersey,7054,,
,,,HollyFrontier,2828 N. Harwood,Dallas,Texas,75201,,
,,,Eli Lilly,Lilly Corporate Center,Indianapolis,Indiana,46285,,
,,,Devon Energy,333 W. Sheridan Ave.,Oklahoma City,Oklahoma,73102,,
,,,Progressive,6300 Wilson Mills Rd.,Mayfield Village,Ohio,44143,,
,,,Cummins,500 Jackson St.,Columbus,Indiana,47201,,
,,,Icahn Enterprises,767 Fifth Ave.,New York,New York,10153,,
,,,AutoNation,200 S.W. First Ave.,Fort Lauderdale,Florida,33301,,
,,,Kohl's,N56 W17000 Ridgewood Dr.,Menomonee Falls,Wisconsin,53051,,
,,,Paccar,777 106th Ave. N.E.,Bellevue,Washington,98004,,
,,,Dollar General,100 Mission Ridge,Goodlettsville,Tennessee,37072,,
,,,Hartford Financial Services Gro,1 Hartford Plaza,Hartford,Connecticut,6155,,
,,,Southwest Airlines,2702 Love Field Dr.,Dallas,Texas,75235,,
,,,Anadarko Petroleum,1201 Lake Robbins Dr.,The Woodlands,Texas,77380,,
,,,Southern,30 Ivan Allen Jr. Blvd. N.W.,Atlanta,Georgia,30308,,
